CTID,C000,EMP_DEN,CA01,CA02,CA03,CE01,CE02,CE03,NS01,NS02,NS03,NS04,NS05,NS06,NS07,NS08,NS09,NS10,NS11,NS12,NS13,NS14,NS15,NS16,NS17,NS18,NS19,NS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02
17197880421,689,#N/A,212,352,125,254,219,216,0,0,0,88,11,45,124,16,1,21,9,46,0,69,11,54,14,99,81,0,635,27,3,19,1,4,585,104,72,148,141,116,401,288
17197880502,849,#N/A,118,527,204,186,205,458,0,0,0,138,52,3,40,178,0,1,16,17,0,86,221,12,19,47,19,0,811,27,1,5,0,5,769,80,83,204,238,206,507,342
17197880503,159,#N/A,35,84,40,41,35,83,0,0,0,76,0,0,0,18,0,0,0,0,0,2,0,0,27,16,20,0,146,7,2,3,0,1,134,25,23,28,41,32,122,37
17197880505,819,#N/A,313,394,112,351,274,194,0,0,0,22,23,176,49,267,0,23,1,1,0,7,1,17,2,197,33,0,613,146,5,37,1,17,666,153,91,144,157,114,464,355
17197880507,96,#N/A,25,56,15,46,30,20,0,0,0,2,2,0,4,12,0,0,0,11,0,2,2,22,2,8,29,0,76,13,0,7,0,0,77,19,7,16,31,17,52,44
17197880601,1040,#N/A,364,462,214,446,315,279,0,0,0,23,0,2,181,12,0,23,3,66,0,1,341,89,27,229,43,0,963,55,0,14,0,8,953,87,81,188,202,205,428,612
17197880602,1293,#N/A,208,703,382,394,355,544,0,0,0,23,77,24,89,35,39,35,11,34,0,39,274,110,0,150,96,257,1201,42,4,34,2,10,1180,113,109,317,351,308,611,682
17197880701,410,#N/A,157,175,78,255,76,79,0,0,0,15,1,0,3,3,0,2,0,1,0,4,53,14,309,0,5,0,387,14,0,6,0,3,382,28,29,65,91,68,164,246
17197880702,410,#N/A,53,242,115,84,119,207,0,24,0,121,86,12,25,4,0,0,0,0,0,49,53,3,0,7,26,0,348,41,4,11,1,5,315,95,66,94,131,66,274,136
17197880901,2186,#N/A,636,1155,395,673,843,670,0,0,0,153,336,14,743,41,8,22,84,58,0,181,130,268,2,59,87,0,1812,248,8,83,5,30,1842,344,199,462,510,379,1042,1144
17197880903,1059,#N/A,238,529,292,426,415,218,0,0,0,46,48,8,64,292,42,24,15,12,0,35,0,175,18,166,36,78,836,179,3,32,0,9,904,155,124,234,276,187,515,544
17197880905,139,#N/A,29,78,32,43,56,40,0,0,0,7,39,3,0,1,0,0,0,9,0,2,57,0,0,9,12,0,130,2,1,4,0,2,123,16,12,26,45,27,62,77
17197881001,1094,#N/A,287,623,184,390,308,396,3,0,0,102,10,13,104,33,3,14,30,110,0,352,164,61,1,75,19,0,947,117,3,20,0,7,967,127,100,216,268,223,606,488
17197881002,325,#N/A,47,190,88,87,112,126,7,0,0,86,2,5,14,39,40,14,2,32,8,18,0,2,22,0,3,31,306,6,1,6,1,5,290,35,38,65,108,67,201,124
17197881005,594,#N/A,244,238,112,266,233,95,8,0,0,7,2,4,221,10,1,35,12,46,0,21,0,51,17,69,90,0,554,23,2,13,0,2,522,72,46,104,116,84,266,328
17197881006,605,#N/A,250,244,111,300,241,64,0,0,0,8,11,4,335,3,0,22,0,7,0,13,1,42,3,150,6,0,481,90,0,28,0,6,532,73,46,109,121,79,299,306
17197881007,1592,#N/A,247,880,465,361,623,608,8,0,0,118,6,3,70,45,0,16,33,81,0,192,775,108,0,97,17,23,1498,61,4,14,2,13,1464,128,115,344,422,464,596,996
17197881009,981,#N/A,388,444,149,412,447,122,1,0,0,31,6,3,379,68,1,33,0,6,0,3,47,77,46,168,112,0,773,155,2,44,1,6,851,130,90,164,193,146,415,566
17197881010,66,#N/A,11,37,18,13,19,34,4,0,0,17,0,6,2,6,0,0,0,2,0,6,0,13,7,0,3,0,60,2,0,3,0,1,59,7,4,8,19,24,40,26
17197881011,455,#N/A,107,238,110,135,162,158,0,0,0,52,0,36,3,27,0,15,10,21,0,18,42,172,0,47,12,0,397,45,0,10,1,2,408,47,38,90,126,94,201,254
17197881012,613,#N/A,111,360,142,145,164,304,0,0,0,161,28,37,49,25,0,12,1,13,0,71,63,32,22,7,92,0,565,20,2,21,0,5,553,60,52,143,176,131,383,230
17197881105,1000,#N/A,207,501,292,354,316,330,1,0,0,158,10,13,30,18,9,6,4,69,0,9,379,38,160,62,34,0,933,37,4,16,1,9,908,92,80,219,270,224,391,609
17197881107,868,#N/A,159,470,239,242,233,393,0,0,0,33,26,0,36,45,1,27,3,30,0,15,484,109,0,37,22,0,836,20,2,8,0,2,828,40,41,185,235,248,299,569
17197881108,4646,#N/A,1054,2576,1016,720,1454,2472,0,0,145,75,28,345,142,8,9,5,3,42,0,53,243,3401,58,67,17,5,4117,383,11,101,2,32,4247,399,304,863,1268,1157,1585,3061
17197881109,380,#N/A,74,211,95,75,85,220,22,0,0,49,165,6,56,13,0,22,5,0,8,6,4,5,19,0,0,0,340,22,4,6,0,8,301,79,56,94,90,66,273,107
17197881111,1129,#N/A,362,558,209,446,329,354,2,0,0,42,1,4,53,112,76,47,14,58,0,26,6,127,0,254,86,221,1057,49,4,13,0,6,1047,82,77,231,268,191,532,597
17197881112,2758,#N/A,503,1658,597,508,697,1553,0,0,0,307,532,783,272,41,2,5,15,76,0,207,233,100,2,55,95,33,2453,184,14,83,1,23,2279,479,313,609,717,616,1757,1001
17197881113,1068,#N/A,346,519,203,401,316,351,7,0,0,142,138,16,230,1,16,6,5,26,0,46,190,79,2,107,57,0,1000,46,0,16,0,6,980,88,77,230,238,177,529,539
17197881115,674,#N/A,265,300,109,282,252,140,0,0,0,28,13,5,293,0,0,61,7,33,0,21,37,47,10,109,10,0,555,95,1,13,0,10,611,63,46,106,137,120,291,383
17197881116,1110,#N/A,437,497,176,465,418,227,0,0,0,175,2,23,434,14,11,24,8,25,0,30,0,36,21,271,36,0,985,95,4,12,2,12,993,117,97,199,205,172,587,523
17197881200,1339,#N/A,362,679,298,436,780,123,0,0,0,10,24,0,3,35,0,0,9,11,0,0,0,1211,4,4,28,0,828,477,0,20,0,14,1268,71,128,345,342,162,419,920
17197881301,103,#N/A,18,53,32,30,51,22,0,0,0,0,0,22,19,5,0,25,0,5,0,8,0,9,0,2,8,0,86,12,2,2,0,1,62,41,22,24,20,19,49,54
17197881302,484,#N/A,84,274,126,91,180,213,0,0,0,27,74,30,58,0,25,17,3,1,0,99,0,60,4,52,34,0,421,34,7,13,0,9,296,188,106,111,103,80,285,199
17197881401,393,#N/A,89,188,116,127,110,156,0,0,0,5,136,6,84,26,0,2,0,0,0,3,0,24,0,98,9,0,355,28,0,7,0,3,341,52,40,104,97,63,241,152
17197881402,368,#N/A,98,199,71,161,137,70,0,0,0,59,20,0,192,0,0,5,0,11,0,8,0,18,0,8,47,0,325,23,5,14,1,0,296,72,40,85,82,63,181,187
17197881500,870,#N/A,249,422,199,290,409,171,0,0,0,0,0,0,362,1,0,14,0,23,0,2,87,365,0,0,16,0,708,128,0,27,1,6,763,107,80,199,192,150,292,578
17197881601,391,#N/A,31,246,114,64,108,219,0,0,0,10,0,0,0,0,0,0,4,0,0,0,316,53,0,0,8,0,316,68,0,3,0,4,361,30,25,76,120,139,147,244
17197881603,188,#N/A,34,113,41,42,92,54,0,0,0,0,0,1,37,3,0,0,34,24,0,0,0,36,0,0,53,0,154,30,0,3,0,1,150,38,29,41,48,36,72,116
17197881604,616,#N/A,181,314,121,203,174,239,0,0,0,4,0,10,367,13,58,24,5,0,0,0,0,7,37,15,18,58,525,74,2,13,0,2,534,82,58,117,147,113,359,257
17197881700,153,#N/A,40,65,48,52,66,35,0,0,0,11,8,0,3,0,0,15,1,8,0,3,0,44,0,36,24,0,136,7,0,10,0,0,125,28,15,39,31,28,74,79
17197881800,1254,#N/A,313,596,345,650,261,343,0,0,0,14,4,9,6,25,0,8,0,0,0,67,1062,9,0,41,9,0,1113,103,3,26,0,9,1136,118,78,200,263,400,458,796
17197881900,403,#N/A,74,241,88,119,150,134,0,0,0,11,4,0,1,0,0,0,45,3,0,4,204,29,0,44,9,49,333,63,1,4,0,2,360,43,45,101,114,69,120,283
17197882000,6456,#N/A,901,4060,1495,934,2042,3480,0,0,0,10,15,40,233,64,279,133,71,251,98,11,399,145,957,227,68,3455,5304,918,25,142,1,66,5630,826,535,1396,1924,1700,3053,3403
17197882100,651,#N/A,156,358,137,178,238,235,0,0,0,95,0,0,109,6,0,0,0,12,0,0,166,139,0,115,9,0,471,149,7,17,2,5,550,101,79,141,159,116,321,330
17197882200,384,#N/A,55,221,108,55,166,163,0,0,0,27,55,82,38,6,0,3,7,8,0,52,0,97,0,1,8,0,336,21,5,16,1,5,319,65,38,86,91,114,252,132
17197882300,342,#N/A,39,188,115,86,132,124,0,0,5,13,130,25,21,30,0,33,7,38,0,18,0,2,2,8,10,0,305,24,0,4,1,8,251,91,81,74,71,77,163,179
17197882400,84,#N/A,11,39,34,45,29,10,0,2,0,3,13,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,74,10,0,0,0,0,75,9,9,28,23,13,41,43
17197882500,106,#N/A,27,55,24,34,46,26,0,0,0,0,69,0,9,0,0,0,0,0,0,0,4,7,0,13,4,0,71,23,0,10,0,2,82,24,17,25,18,19,64,42
17197882601,105,#N/A,11,55,39,42,39,24,0,0,0,8,0,0,0,1,0,1,0,1,0,0,0,94,0,0,0,0,71,30,0,4,0,0,104,1,5,27,43,19,31,74
17197882602,61,#N/A,9,35,17,11,17,33,0,0,0,26,13,0,0,4,0,0,0,0,0,2,7,8,0,0,1,0,58,3,0,0,0,0,46,15,5,16,18,13,40,21
17197882701,397,#N/A,114,206,77,175,143,79,0,0,0,11,5,43,81,4,0,25,9,15,0,3,1,41,0,132,27,0,349,27,0,17,0,4,339,58,44,91,89,59,177,220
17197882702,2253,#N/A,440,1344,469,579,708,966,0,0,0,0,0,0,43,0,0,44,1,6,0,272,1565,122,3,138,59,0,1806,400,15,14,1,17,1913,340,216,471,589,537,558,1695
17197882801,1140,#N/A,413,505,222,554,401,185,0,0,0,13,0,8,333,3,26,58,36,4,0,3,42,228,0,362,24,0,846,212,5,51,3,23,965,175,119,231,217,160,453,687
17197882802,6587,#N/A,1307,3743,1537,1301,2495,2791,0,0,0,383,47,141,799,46,1,39,41,121,38,46,50,3995,49,499,260,32,5420,733,18,344,6,66,5940,647,558,1421,1839,1462,2175,4412
17197882900,2964,#N/A,404,1835,725,327,756,1881,0,0,176,457,671,413,59,332,24,0,20,144,0,457,57,0,0,64,76,14,2649,241,16,37,2,19,2567,397,320,826,845,569,2368,596
17197883000,1620,#N/A,307,944,369,334,642,644,0,7,0,292,135,140,53,44,0,58,33,2,0,19,47,558,18,3,211,0,1192,357,8,42,2,19,1389,231,221,412,407,273,868,752
17197883100,4988,#N/A,1118,2764,1106,1132,1200,2656,0,24,1618,86,58,299,50,1440,18,13,6,84,0,207,125,339,198,79,166,178,3918,927,20,78,2,43,4337,651,437,1022,1215,1196,3504,1484
17197883206,1120,#N/A,340,544,236,492,344,284,0,0,0,10,0,35,131,2,19,54,36,51,0,12,14,352,310,78,16,0,906,160,3,45,0,6,1025,95,95,207,288,190,414,706
17197883208,1266,#N/A,226,747,293,304,486,476,0,0,0,18,0,4,48,0,0,148,130,160,1,63,32,553,9,83,17,0,1158,63,1,41,0,3,1162,104,76,249,358,357,364,902
17197883209,652,#N/A,153,346,153,230,217,205,0,0,0,2,5,0,8,5,12,43,0,72,0,80,12,282,5,83,43,0,558,67,2,18,0,7,577,75,64,149,167,119,200,452
17197883210,4008,#N/A,882,2023,1103,1293,1451,1264,0,0,0,22,84,0,1049,7,8,157,26,68,0,230,1816,209,75,228,29,0,3358,461,9,147,1,32,3570,438,304,804,1009,1009,1807,2201
17197883211,7356,#N/A,1615,4236,1505,999,2861,3496,0,64,0,410,1097,942,106,1286,0,428,72,46,0,612,130,903,729,353,178,0,6143,1004,25,134,1,49,6485,871,754,1843,1879,1265,4276,3080
17197883212,337,#N/A,83,186,68,76,127,134,0,0,0,38,8,19,58,73,86,0,9,5,0,2,1,6,0,6,26,0,314,19,0,2,1,1,287,50,31,82,83,58,241,96
17197883213,938,#N/A,237,526,175,247,346,345,0,0,26,54,208,53,207,17,0,1,22,32,0,7,133,43,0,78,57,0,876,33,1,22,0,6,827,111,88,205,241,167,556,382
17197883214,956,#N/A,315,488,153,341,350,265,0,0,0,17,14,33,152,0,0,18,11,29,0,5,196,97,29,200,155,0,872,62,0,13,0,9,839,117,73,189,231,148,407,549
17197883215,2342,#N/A,869,1127,346,972,925,445,0,0,0,57,5,19,776,61,0,23,96,11,0,262,423,51,5,495,58,0,1941,304,3,70,1,23,1957,385,230,463,441,339,942,1400
17197883216,583,#N/A,232,249,102,284,199,100,0,0,0,15,0,1,282,0,0,19,1,13,0,43,0,52,32,106,19,0,494,62,0,18,1,8,491,92,54,114,105,78,309,274
17197883303,172,#N/A,52,90,30,66,61,45,0,0,0,19,0,10,0,2,0,0,1,3,0,6,55,31,0,39,6,0,159,4,2,5,0,2,163,9,13,37,38,32,74,98
17197883304,276,#N/A,30,180,66,68,63,145,10,0,0,21,0,16,0,4,0,0,0,7,0,36,174,0,0,0,2,6,262,7,3,1,0,3,261,15,28,57,92,69,151,125
17197883305,1435,#N/A,400,770,265,547,364,524,0,0,0,217,123,83,44,45,31,11,42,51,0,68,106,48,108,339,52,67,1329,55,9,23,2,17,1291,144,162,325,322,226,800,635
17197883306,3651,#N/A,640,2257,754,308,438,2905,3,0,0,42,1709,268,65,1056,0,12,56,8,7,112,36,4,76,47,119,31,3157,410,8,50,3,23,3296,355,322,950,1000,739,2963,688
17197883307,1779,#N/A,307,1051,421,211,368,1200,18,0,15,82,765,78,13,332,0,4,18,142,0,13,69,4,93,36,41,56,1569,166,4,29,2,9,1616,163,161,468,496,347,1248,531
17197883401,1176,#N/A,318,575,283,514,371,291,0,0,0,71,0,4,320,40,72,42,2,17,0,17,115,143,24,113,89,107,1103,50,5,14,0,4,1129,47,96,303,284,175,508,668
17197883402,252,#N/A,49,142,61,59,99,94,16,0,0,4,66,9,49,62,0,0,0,7,0,3,0,0,7,22,4,3,227,16,0,5,2,2,238,14,28,66,76,33,152,100
17197883504,5202,#N/A,1253,2855,1094,1297,1583,2322,0,0,0,652,1026,243,356,27,12,145,68,144,33,720,535,249,25,489,286,192,4675,408,15,64,5,35,4713,489,472,1187,1293,997,3079,2123
17197883505,1140,#N/A,271,608,261,314,376,450,0,0,0,78,268,17,63,6,43,22,31,94,0,51,167,60,49,123,68,0,978,129,0,22,1,10,1027,113,121,242,278,228,495,645
17197883507,484,#N/A,119,225,140,154,191,139,48,0,0,106,10,9,12,11,0,1,44,37,0,91,33,1,43,0,38,0,451,21,1,4,0,7,442,42,52,115,113,85,287,197
17197883509,642,#N/A,146,358,138,178,183,281,6,0,4,78,8,6,14,1,29,63,0,20,1,29,213,60,0,36,22,52,617,11,5,4,1,4,616,26,35,138,172,151,231,411
17197883510,662,#N/A,175,377,110,156,141,365,0,1,0,393,0,8,128,6,0,3,5,16,0,26,0,28,23,10,5,10,611,40,3,6,0,2,551,111,88,163,134,102,464,198
17197883511,674,#N/A,126,363,185,288,205,181,16,0,0,17,0,10,20,10,0,21,3,38,0,19,209,113,122,13,63,0,607,54,0,11,0,2,641,33,38,145,193,172,224,450
